placeDcid,placeName,Date:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue,Value:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue,Source:Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreationAccommodationFoodServices_RealValue
geoId/18039,Elkhart County,2021,220310000,https://www.bea.gov/
geoId/18041,Fayette County,2021,14437000,https://www.bea.gov/
geoId/18043,Floyd County,2021,89808000,https://www.bea.gov/
geoId/18045,Fountain County,2021,7864000,https://www.bea.gov/
geoId/18047,Franklin County,2021,11422000,https://www.bea.gov/
geoId/18049,Fulton County,2021,13291000,https://www.bea.gov/
geoId/18051,Gibson County,2021,30441000,https://www.bea.gov/
geoId/18053,Grant County,2021,62250000,https://www.bea.gov/
geoId/18055,Greene County,2021,12141000,https://www.bea.gov/
geoId/18057,Hamilton County,2021,660872000,https://www.bea.gov/
geoId/18059,Hancock County,2021,71958000,https://www.bea.gov/
geoId/18061,Harrison County,2021,131544000,https://www.bea.gov/
geoId/18063,Hendricks County,2021,263971000,https://www.bea.gov/
geoId/18065,Henry County,2021,28311000,https://www.bea.gov/
geoId/18067,Howard County,2021,109776000,https://www.bea.gov/
geoId/18069,Huntington County,2021,27936000,https://www.bea.gov/
geoId/18071,Jackson County,2021,42803000,https://www.bea.gov/
geoId/18073,Jasper County,2021,28803000,https://www.bea.gov/
geoId/18075,Jay County,2021,10186000,https://www.bea.gov/
geoId/18077,Jefferson County,2021,28923000,https://www.bea.gov/
geoId/18079,Jennings County,2021,10886000,https://www.bea.gov/
geoId/18081,Johnson County,2021,216571000,https://www.bea.gov/
geoId/18083,Knox County,2021,42202000,https://www.bea.gov/
geoId/18085,Kosciusko County,2021,91322000,https://www.bea.gov/
geoId/18087,LaGrange County,2021,26569000,https://www.bea.gov/
geoId/18089,Lake County,2021,971767000,https://www.bea.gov/
geoId/18091,LaPorte County,2021,185270000,https://www.bea.gov/
geoId/18093,Lawrence County,2021,32019000,https://www.bea.gov/
geoId/18095,Madison County,2021,212305000,https://www.bea.gov/
geoId/18097,Marion County,2021,2776112000,https://www.bea.gov/
geoId/18099,Marshall County,2021,43409000,https://www.bea.gov/
geoId/18101,Martin County,2017,6684000,https://www.bea.gov/
geoId/18103,Miami County,2021,20839000,https://www.bea.gov/
geoId/18105,Monroe County,2021,253314000,https://www.bea.gov/
geoId/18107,Montgomery County,2021,39390000,https://www.bea.gov/
geoId/18109,Morgan County,2021,47198000,https://www.bea.gov/
geoId/18111,Newton County,2021,10811000,https://www.bea.gov/
geoId/18113,Noble County,2021,27036000,https://www.bea.gov/
geoId/18115,Ohio County,2021,25042000,https://www.bea.gov/
geoId/18117,Orange County,2021,134165000,https://www.bea.gov/
geoId/18119,Owen County,2021,9236000,https://www.bea.gov/
geoId/18121,Parke County,2021,8098000,https://www.bea.gov/
geoId/18123,Perry County,2021,14157000,https://www.bea.gov/
geoId/18125,Pike County,2018,3323000,https://www.bea.gov/
geoId/18127,Porter County,2021,203215000,https://www.bea.gov/
geoId/18129,Posey County,2021,22038000,https://www.bea.gov/
geoId/18131,Pulaski County,2021,5430000,https://www.bea.gov/
geoId/18133,Putnam County,2021,28458000,https://www.bea.gov/
geoId/18135,Randolph County,2021,22305000,https://www.bea.gov/
geoId/18137,Ripley County,2021,22775000,https://www.bea.gov/
geoId/18139,Rush County,2021,9320000,https://www.bea.gov/
geoId/18141,St. Joseph County,2021,422416000,https://www.bea.gov/
geoId/18143,Scott County,2021,20030000,https://www.bea.gov/
geoId/18145,Shelby County,2020,87213000,https://www.bea.gov/
geoId/18147,Spencer County,2021,38412000,https://www.bea.gov/
geoId/18149,Starke County,2021,10435000,https://www.bea.gov/
geoId/18151,Steuben County,2021,42960000,https://www.bea.gov/
geoId/18153,Sullivan County,2021,12557000,https://www.bea.gov/
geoId/18155,Switzerland County,2021,70138000,https://www.bea.gov/
geoId/18157,Tippecanoe County,2021,267972000,https://www.bea.gov/
geoId/18159,Tipton County,2018,6104000,https://www.bea.gov/
geoId/18161,Union County,2020,4739000,https://www.bea.gov/
geoId/18163,Vanderburgh County,2021,403571000,https://www.bea.gov/
geoId/18165,Vermillion County,2021,9561000,https://www.bea.gov/
geoId/18167,Vigo County,2021,164035000,https://www.bea.gov/
geoId/18169,Wabash County,2021,40137000,https://www.bea.gov/
geoId/18171,Warren County,2021,1493000,https://www.bea.gov/
geoId/18173,Warrick County,2021,43648000,https://www.bea.gov/
geoId/18175,Washington County,2021,10730000,https://www.bea.gov/
geoId/18177,Wayne County,2021,80359000,https://www.bea.gov/
geoId/18179,Wells County,2021,12752000,https://www.bea.gov/
geoId/18181,White County,2021,25730000,https://www.bea.gov/
geoId/18183,Whitley County,2021,21561000,https://www.bea.gov/
geoId/19001,Adair County,2021,5886000,https://www.bea.gov/
geoId/19003,Adams County,2021,1757000,https://www.bea.gov/
geoId/19005,Allamakee County,2020,3621000,https://www.bea.gov/
geoId/19007,Appanoose County,2021,12782000,https://www.bea.gov/
geoId/19009,Audubon County,2021,2252000,https://www.bea.gov/
geoId/19011,Benton County,2021,6738000,https://www.bea.gov/
geoId/19013,Black Hawk County,2021,196907000,https://www.bea.gov/
geoId/19015,Boone County,2021,16223000,https://www.bea.gov/
geoId/19017,Bremer County,2021,13998000,https://www.bea.gov/
geoId/19019,Buchanan County,2021,8493000,https://www.bea.gov/
geoId/19021,Buena Vista County,2021,18150000,https://www.bea.gov/
geoId/19023,Butler County,2020,2581000,https://www.bea.gov/
geoId/19025,Calhoun County,2021,3015000,https://www.bea.gov/
geoId/19027,Carroll County,2021,17617000,https://www.bea.gov/
geoId/19029,Cass County,2021,9397000,https://www.bea.gov/
geoId/19031,Cedar County,2021,7139000,https://www.bea.gov/
geoId/19033,Cerro Gordo County,2021,66959000,https://www.bea.gov/
geoId/19035,Cherokee County,2021,7473000,https://www.bea.gov/
geoId/19037,Chickasaw County,2021,5655000,https://www.bea.gov/
geoId/19039,Clarke County,2019,23614000,https://www.bea.gov/
geoId/19041,Clay County,2021,19806000,https://www.bea.gov/
geoId/19043,Clayton County,2021,21377000,https://www.bea.gov/
geoId/19045,Clinton County,2021,70182000,https://www.bea.gov/
geoId/19047,Crawford County,2021,10657000,https://www.bea.gov/
geoId/19049,Dallas County,2021,163193000,https://www.bea.gov/
geoId/19051,Davis County,2014,2896000,https://www.bea.gov/
geoId/19053,Decatur County,2021,2882000,https://www.bea.gov/
geoId/19055,Delaware County,2021,8389000,https://www.bea.gov/
geoId/19057,Des Moines County,2021,102453000,https://www.bea.gov/
geoId/19059,Dickinson County,2021,59386000,https://www.bea.gov/
geoId/19061,Dubuque County,2021,209636000,https://www.bea.gov/
geoId/19063,Emmet County,2021,4746000,https://www.bea.gov/
geoId/19065,Fayette County,2021,10705000,https://www.bea.gov/
geoId/19067,Floyd County,2021,7641000,https://www.bea.gov/
geoId/19069,Franklin County,2021,3970000,https://www.bea.gov/
geoId/19071,Fremont County,2021,4746000,https://www.bea.gov/
geoId/19073,Greene County,2021,13567000,https://www.bea.gov/
geoId/19075,Grundy County,2021,3360000,https://www.bea.gov/
geoId/19077,Guthrie County,2021,7158000,https://www.bea.gov/
geoId/19079,Hamilton County,2021,7209000,https://www.bea.gov/
geoId/19081,Hancock County,2021,2735000,https://www.bea.gov/
geoId/19083,Hardin County,2021,10308000,https://www.bea.gov/
geoId/19085,Harrison County,2021,8502000,https://www.bea.gov/
geoId/19087,Henry County,2021,11614000,https://www.bea.gov/
geoId/19089,Howard County,2019,2747000,https://www.bea.gov/
geoId/19091,Humboldt County,2021,4141000,https://www.bea.gov/
geoId/19093,Ida County,2021,4521000,https://www.bea.gov/
geoId/19095,Iowa County,2021,16944000,https://www.bea.gov/
geoId/19097,Jackson County,2021,14308000,https://www.bea.gov/
geoId/19099,Jasper County,2021,27708000,https://www.bea.gov/
geoId/19101,Jefferson County,2021,11496000,https://www.bea.gov/
geoId/19103,Johnson County,2021,291301000,https://www.bea.gov/
geoId/19105,Jones County,2021,13745000,https://www.bea.gov/
geoId/19107,Keokuk County,2007,1244000,https://www.bea.gov/
geoId/19109,Kossuth County,2021,10699000,https://www.bea.gov/
geoId/19111,Lee County,2021,25492000,https://www.bea.gov/
geoId/19113,Linn County,2021,375481000,https://www.bea.gov/
geoId/19115,Louisa County,2021,3000000,https://www.bea.gov/
geoId/19117,Lucas County,2021,2656000,https://www.bea.gov/
geoId/19119,Lyon County,2021,45936000,https://www.bea.gov/
geoId/19121,Madison County,2021,8195000,https://www.bea.gov/
geoId/19123,Mahaska County,2021,14735000,https://www.bea.gov/
geoId/19125,Marion County,2021,37515000,https://www.bea.gov/
geoId/19127,Marshall County,2021,33475000,https://www.bea.gov/
geoId/19129,Mills County,2021,8618000,https://www.bea.gov/
geoId/19131,Mitchell County,2021,5104000,https://www.bea.gov/
geoId/19133,Monona County,2021,9910000,https://www.bea.gov/
geoId/19135,Monroe County,2019,3671000,https://www.bea.gov/
geoId/19137,Montgomery County,2021,8266000,https://www.bea.gov/
geoId/19139,Muscatine County,2021,33441000,https://www.bea.gov/
geoId/19141,O'Brien County,2021,7102000,https://www.bea.gov/
geoId/19143,Osceola County,2018,1983000,https://www.bea.gov/
geoId/19145,Page County,2021,9078000,https://www.bea.gov/
geoId/19147,Palo Alto County,2021,12687000,https://www.bea.gov/
geoId/19149,Plymouth County,2021,17541000,https://www.bea.gov/
geoId/19151,Pocahontas County,2020,1878000,https://www.bea.gov/
geoId/19153,Polk County,2021,1000931000,https://www.bea.gov/
geoId/19155,Pottawattamie County,2021,275363000,https://www.bea.gov/
geoId/19157,Poweshiek County,2021,14384000,https://www.bea.gov/
geoId/19159,Ringgold County,2021,1641000,https://www.bea.gov/
geoId/19161,Sac County,2021,5109000,https://www.bea.gov/
geoId/19163,Scott County,2021,336321000,https://www.bea.gov/
geoId/19165,Shelby County,2021,7529000,https://www.bea.gov/
geoId/19167,Sioux County,2021,33111000,https://www.bea.gov/
geoId/19169,Story County,2021,119468000,https://www.bea.gov/
geoId/19171,Tama County,2021,5051000,https://www.bea.gov/
geoId/19173,Taylor County,2018,864000,https://www.bea.gov/
geoId/19175,Union County,2021,10742000,https://www.bea.gov/
geoId/19177,Van Buren County,2021,2159000,https://www.bea.gov/
geoId/19179,Wapello County,2021,31079000,https://www.bea.gov/
geoId/19181,Warren County,2021,41428000,https://www.bea.gov/
geoId/19183,Washington County,2021,129986000,https://www.bea.gov/
geoId/19185,Wayne County,2021,2150000,https://www.bea.gov/
geoId/19187,Webster County,2021,39957000,https://www.bea.gov/
geoId/19189,Winnebago County,2021,5624000,https://www.bea.gov/
geoId/19191,Winneshiek County,2021,25011000,https://www.bea.gov/
geoId/19193,Woodbury County,2021,199110000,https://www.bea.gov/
geoId/19195,Worth County,2021,31097000,https://www.bea.gov/
geoId/19197,Wright County,2021,4656000,https://www.bea.gov/
geoId/20001,Allen County,2021,7810000,https://www.bea.gov/
geoId/20003,Anderson County,2020,2682000,https://www.bea.gov/
geoId/20005,Atchison County,2021,13842000,https://www.bea.gov/
geoId/20007,Barber County,2021,1688000,https://www.bea.gov/
geoId/20009,Barton County,2021,20195000,https://www.bea.gov/
geoId/20011,Bourbon County,2019,35493000,https://www.bea.gov/
geoId/20013,Brown County,2020,4228000,https://www.bea.gov/
geoId/20015,Butler County,2021,53106000,https://www.bea.gov/
geoId/20017,Chase County,2021,3439000,https://www.bea.gov/
geoId/20019,Chautauqua County,2021,1034000,https://www.bea.gov/
geoId/20021,Cherokee County,2021,8827000,https://www.bea.gov/
geoId/20023,Cheyenne County,2021,954000,https://www.bea.gov/
geoId/20025,Clark County,2021,280000,https://www.bea.gov/
geoId/20027,Clay County,2016,3077000,https://www.bea.gov/
geoId/20029,Cloud County,2021,9597000,https://www.bea.gov/
geoId/20031,Coffey County,2018,3350000,https://www.bea.gov/
geoId/20033,Comanche County,2021,873000,https://www.bea.gov/
geoId/20035,Cowley County,2021,30399000,https://www.bea.gov/
geoId/20037,Crawford County,2021,62506000,https://www.bea.gov/
geoId/20039,Decatur County,2021,1607000,https://www.bea.gov/
geoId/20041,Dickinson County,2021,12201000,https://www.bea.gov/
geoId/20043,Doniphan County,2021,2144000,https://www.bea.gov/
geoId/20045,Douglas County,2021,209452000,https://www.bea.gov/
geoId/20047,Edwards County,2010,794000,https://www.bea.gov/
geoId/20049,Elk County,2021,4522000,https://www.bea.gov/
geoId/20051,Ellis County,2021,42080000,https://www.bea.gov/
geoId/20053,Ellsworth County,2019,3740000,https://www.bea.gov/
geoId/20055,Finney County,2021,64979000,https://www.bea.gov/
geoId/20057,Ford County,2021,59956000,https://www.bea.gov/
geoId/20059,Franklin County,2021,18608000,https://www.bea.gov/
geoId/20061,Geary County,2021,41836000,https://www.bea.gov/
geoId/20063,Gove County,2021,3632000,https://www.bea.gov/
geoId/20065,Graham County,2021,917000,https://www.bea.gov/
geoId/20067,Grant County,2021,5388000,https://www.bea.gov/
geoId/20069,Gray County,2021,1744000,https://www.bea.gov/
geoId/20071,Greeley County,2015,225000,https://www.bea.gov/
geoId/20073,Greenwood County,2021,1467000,https://www.bea.gov/
geoId/20075,Hamilton County,2021,1581000,https://www.bea.gov/
geoId/20077,Harper County,2021,4713000,https://www.bea.gov/
geoId/20079,Harvey County,2021,24328000,https://www.bea.gov/
geoId/20081,Haskell County,2021,1008000,https://www.bea.gov/
geoId/20083,Hodgeman County,2019,420000,https://www.bea.gov/
geoId/20085,Jackson County,2021,6250000,https://www.bea.gov/
geoId/20087,Jefferson County,2021,6518000,https://www.bea.gov/
geoId/20089,Jewell County,2021,1025000,https://www.bea.gov/
geoId/20091,Johnson County,2021,1117314000,https://www.bea.gov/
geoId/20093,Kearny County,2021,1650000,https://www.bea.gov/
geoId/20095,Kingman County,2021,4017000,https://www.bea.gov/
geoId/20097,Kiowa County,2021,1491000,https://www.bea.gov/
geoId/20099,Labette County,2021,11840000,https://www.bea.gov/
geoId/20101,Lane County,2021,434000,https://www.bea.gov/
geoId/20103,Leavenworth County,2021,56729000,https://www.bea.gov/
geoId/20105,Lincoln County,2020,554000,https://www.bea.gov/
geoId/20107,Linn County,2021,1557000,https://www.bea.gov/
geoId/20109,Logan County,2021,2667000,https://www.bea.gov/
geoId/20111,Lyon County,2021,35935000,https://www.bea.gov/
geoId/20113,McPherson County,2021,25665000,https://www.bea.gov/
geoId/20115,Marion County,2021,4908000,https://www.bea.gov/
geoId/20117,Marshall County,2021,6199000,https://www.bea.gov/
geoId/20119,Meade County,2021,989000,https://www.bea.gov/
geoId/20121,Miami County,2021,18733000,https://www.bea.gov/
geoId/20123,Mitchell County,2021,3755000,https://www.bea.gov/
geoId/20125,Montgomery County,2021,34268000,https://www.bea.gov/
geoId/20127,Morris County,2021,3470000,https://www.bea.gov/
geoId/20129,Morton County,2021,1080000,https://www.bea.gov/
geoId/20131,Nemaha County,2019,5034000,https://www.bea.gov/
geoId/20133,Neosho County,2021,8309000,https://www.bea.gov/
geoId/20135,Ness County,2021,726000,https://www.bea.gov/
geoId/20137,Norton County,2021,4631000,https://www.bea.gov/
geoId/20139,Osage County,2021,5256000,https://www.bea.gov/
geoId/20141,Osborne County,2021,2134000,https://www.bea.gov/
geoId/20143,Ottawa County,2018,1564000,https://www.bea.gov/
geoId/20145,Pawnee County,2021,6941000,https://www.bea.gov/
geoId/20147,Phillips County,2019,3359000,https://www.bea.gov/
geoId/20149,Pottawatomie County,2021,14075000,https://www.bea.gov/
geoId/20151,Pratt County,2021,12446000,https://www.bea.gov/
geoId/20153,Rawlins County,2019,1074000,https://www.bea.gov/
geoId/20155,Reno County,2021,72010000,https://www.bea.gov/
geoId/20157,Republic County,2020,1945000,https://www.bea.gov/
geoId/20159,Rice County,2019,4934000,https://www.bea.gov/
geoId/20161,Riley County,2021,107927000,https://www.bea.gov/
geoId/20163,Rooks County,2017,1430000,https://www.bea.gov/
geoId/20165,Rush County,2021,1502000,https://www.bea.gov/
geoId/20167,Russell County,2021,6071000,https://www.bea.gov/
geoId/20169,Saline County,2021,77368000,https://www.bea.gov/
geoId/20171,Scott County,2021,4882000,https://www.bea.gov/
geoId/20173,Sedgwick County,2021,954733000,https://www.bea.gov/
geoId/20175,Seward County,2021,23699000,https://www.bea.gov/
geoId/20177,Shawnee County,2021,224245000,https://www.bea.gov/
geoId/20179,Sheridan County,2021,1034000,https://www.bea.gov/
geoId/20181,Sherman County,2021,8484000,https://www.bea.gov/
geoId/20183,Smith County,2020,883000,https://www.bea.gov/
geoId/20185,Stafford County,2021,565000,https://www.bea.gov/
geoId/20187,Stanton County,2019,1104000,https://www.bea.gov/
geoId/20189,Stevens County,2021,3586000,https://www.bea.gov/
geoId/20191,Sumner County,2021,41813000,https://www.bea.gov/
geoId/20193,Thomas County,2016,14855000,https://www.bea.gov/
geoId/20195,Trego County,2021,2918000,https://www.bea.gov/
geoId/20197,Wabaunsee County,2021,1318000,https://www.bea.gov/
geoId/20199,Wallace County,2021,1125000,https://www.bea.gov/
geoId/20201,Washington County,2021,2047000,https://www.bea.gov/
geoId/20203,Wichita County,2021,712000,https://www.bea.gov/
geoId/20205,Wilson County,2017,2999000,https://www.bea.gov/
geoId/20207,Woodson County,2021,817000,https://www.bea.gov/
geoId/20209,Wyandotte County,2021,294504000,https://www.bea.gov/
geoId/21001,Adair County,2021,9633000,https://www.bea.gov/
geoId/21003,Allen County,2016,13668000,https://www.bea.gov/
geoId/21005,Anderson County,2021,18277000,https://www.bea.gov/
geoId/21007,Ballard County,2021,1921000,https://www.bea.gov/
geoId/21009,Barren County,2021,55107000,https://www.bea.gov/
geoId/21011,Bath County,2021,3397000,https://www.bea.gov/
geoId/21013,Bell County,2021,25032000,https://www.bea.gov/
geoId/21015,Boone County,2021,333880000,https://www.bea.gov/
geoId/21017,Bourbon County,2021,21813000,https://www.bea.gov/
geoId/21019,Boyd County,2021,83057000,https://www.bea.gov/
geoId/21021,Boyle County,2021,37034000,https://www.bea.gov/
geoId/21023,Bracken County,2021,1982000,https://www.bea.gov/
geoId/21025,Breathitt County,2021,4484000,https://www.bea.gov/
geoId/21027,Breckinridge County,2021,9434000,https://www.bea.gov/
geoId/21029,Bullitt County,2021,64781000,https://www.bea.gov/
geoId/21031,Butler County,2021,4511000,https://www.bea.gov/
geoId/21033,Caldwell County,2019,10207000,https://www.bea.gov/
geoId/21035,Calloway County,2021,38470000,https://www.bea.gov/
geoId/21037,Campbell County,2021,141477000,https://www.bea.gov/
geoId/21039,Carlisle County,2021,1806000,https://www.bea.gov/
geoId/21041,Carroll County,2021,16546000,https://www.bea.gov/
geoId/21043,Carter County,2021,13502000,https://www.bea.gov/
geoId/21045,Casey County,2021,7704000,https://www.bea.gov/
geoId/21047,Christian County,2021,79178000,https://www.bea.gov/
geoId/21049,Clark County,2021,34000000,https://www.bea.gov/
geoId/21051,Clay County,2014,7572000,https://www.bea.gov/
geoId/21053,Clinton County,2021,6733000,https://www.bea.gov/
geoId/21055,Crittenden County,2021,4475000,https://www.bea.gov/
geoId/21057,Cumberland County,2021,3729000,https://www.bea.gov/
geoId/21059,Daviess County,2021,136877000,https://www.bea.gov/
geoId/21061,Edmonson County,2019,5399000,https://www.bea.gov/
geoId/21063,Elliott County,2020,1512000,https://www.bea.gov/
geoId/21065,Estill County,2021,5549000,https://www.bea.gov/
geoId/21067,Fayette County,2021,778777000,https://www.bea.gov/
geoId/21069,Fleming County,2021,4592000,https://www.bea.gov/
geoId/21071,Floyd County,2021,17410000,https://www.bea.gov/
geoId/21073,Franklin County,2021,80147000,https://www.bea.gov/
geoId/21075,Fulton County,2021,4471000,https://www.bea.gov/
geoId/21077,Gallatin County,2019,11960000,https://www.bea.gov/
geoId/21079,Garrard County,2018,3261000,https://www.bea.gov/
geoId/21081,Grant County,2021,23444000,https://www.bea.gov/
geoId/21083,Graves County,2021,25415000,https://www.bea.gov/
geoId/21085,Grayson County,2021,16197000,https://www.bea.gov/
geoId/21087,Green County,2021,2989000,https://www.bea.gov/
geoId/21089,Greenup County,2021,16560000,https://www.bea.gov/
geoId/21091,Hancock County,2021,19726000,https://www.bea.gov/
geoId/21093,Hardin County,2021,138244000,https://www.bea.gov/
geoId/21095,Harlan County,2021,11321000,https://www.bea.gov/
geoId/21097,Harrison County,2019,7897000,https://www.bea.gov/
geoId/21099,Hart County,2021,12935000,https://www.bea.gov/
geoId/21101,Henderson County,2021,49750000,https://www.bea.gov/
geoId/21103,Henry County,2021,4886000,https://www.bea.gov/
geoId/21105,Hickman County,2021,598000,https://www.bea.gov/
geoId/21107,Hopkins County,2021,34966000,https://www.bea.gov/
geoId/21109,Jackson County,2021,1650000,https://www.bea.gov/
geoId/21111,Jefferson County,2021,1853609000,https://www.bea.gov/
geoId/21113,Jessamine County,2021,69918000,https://www.bea.gov/
geoId/21115,Johnson County,2020,10465000,https://www.bea.gov/
geoId/21117,Kenton County,2021,359351000,https://www.bea.gov/
geoId/21119,Knott County,2019,2839000,https://www.bea.gov/
geoId/21121,Knox County,2017,20897000,https://www.bea.gov/
geoId/21123,LaRue County,2021,4735000,https://www.bea.gov/
geoId/21125,Laurel County,2021,60977000,https://www.bea.gov/
geoId/21127,Lawrence County,2021,8462000,https://www.bea.gov/
geoId/21129,Lee County,2021,7972000,https://www.bea.gov/
geoId/21131,Leslie County,2021,1888000,https://www.bea.gov/
geoId/21133,Letcher County,2017,8473000,https://www.bea.gov/
geoId/21135,Lewis County,2021,2407000,https://www.bea.gov/
geoId/21137,Lincoln County,2021,7288000,https://www.bea.gov/
geoId/21139,Livingston County,2021,14856000,https://www.bea.gov/
geoId/21141,Logan County,2021,39699000,https://www.bea.gov/
geoId/21143,Lyon County,2021,20716000,https://www.bea.gov/
geoId/21145,McCracken County,2021,146113000,https://www.bea.gov/
geoId/21147,McCreary County,2021,6107000,https://www.bea.gov/
geoId/21149,McLean County,2021,2785000,https://www.bea.gov/
geoId/21151,Madison County,2021,108798000,https://www.bea.gov/
geoId/21153,Magoffin County,2021,4573000,https://www.bea.gov/
geoId/21155,Marion County,2021,11907000,https://www.bea.gov/
geoId/21157,Marshall County,2021,35002000,https://www.bea.gov/
geoId/21159,Martin County,2021,3163000,https://www.bea.gov/
geoId/21161,Mason County,2021,23224000,https://www.bea.gov/
geoId/21163,Meade County,2021,12926000,https://www.bea.gov/
geoId/21165,Menifee County,2015,662000,https://www.bea.gov/
geoId/21167,Mercer County,2021,33528000,https://www.bea.gov/
geoId/21169,Metcalfe County,2019,2873000,https://www.bea.gov/
geoId/21171,Monroe County,2019,5140000,https://www.bea.gov/
geoId/21173,Montgomery County,2021,25317000,https://www.bea.gov/
geoId/21175,Morgan County,2021,4015000,https://www.bea.gov/
geoId/21177,Muhlenberg County,2021,18419000,https://www.bea.gov/
geoId/21179,Nelson County,2021,40444000,https://www.bea.gov/
geoId/21181,Nicholas County,2021,995000,https://www.bea.gov/
geoId/21183,Ohio County,2021,11249000,https://www.bea.gov/
geoId/21185,Oldham County,2021,59995000,https://www.bea.gov/
geoId/21187,Owen County,2021,5162000,https://www.bea.gov/
geoId/21189,Owsley County,2021,435000,https://www.bea.gov/
geoId/21191,Pendleton County,2021,4246000,https://www.bea.gov/
geoId/21193,Perry County,2016,23968000,https://www.bea.gov/
geoId/21195,Pike County,2021,50709000,https://www.bea.gov/
geoId/21197,Powell County,2021,12029000,https://www.bea.gov/
geoId/21199,Pulaski County,2021,65265000,https://www.bea.gov/
geoId/21201,Robertson County,2021,135000,https://www.bea.gov/
geoId/21203,Rockcastle County,2021,5702000,https://www.bea.gov/
geoId/21205,Rowan County,2021,32372000,https://www.bea.gov/
geoId/21207,Russell County,2021,18144000,https://www.bea.gov/
geoId/21209,Scott County,2021,77428000,https://www.bea.gov/
geoId/21211,Shelby County,2021,47760000,https://www.bea.gov/
geoId/21213,Simpson County,2021,45448000,https://www.bea.gov/
geoId/21215,Spencer County,2021,6054000,https://www.bea.gov/
geoId/21217,Taylor County,2021,24522000,https://www.bea.gov/
geoId/21219,Todd County,2021,2989000,https://www.bea.gov/
geoId/21221,Trigg County,2020,10186000,https://www.bea.gov/
geoId/21223,Trimble County,2021,1882000,https://www.bea.gov/
geoId/21225,Union County,2021,8673000,https://www.bea.gov/
geoId/21227,Warren County,2021,239371000,https://www.bea.gov/
geoId/21229,Washington County,2019,3805000,https://www.bea.gov/
geoId/21231,Wayne County,2021,12335000,https://www.bea.gov/
geoId/21233,Webster County,2021,4186000,https://www.bea.gov/
geoId/21235,Whitley County,2021,39130000,https://www.bea.gov/
geoId/21237,Wolfe County,2021,5177000,https://www.bea.gov/
geoId/21239,Woodford County,2021,35928000,https://www.bea.gov/
geoId/22001,Acadia Parish,2021,33422000,https://www.bea.gov/
geoId/22003,Allen Parish,2021,9437000,https://www.bea.gov/
geoId/22005,Ascension Parish,2021,133720000,https://www.bea.gov/
geoId/22007,Assumption Parish,2020,2645000,https://www.bea.gov/
geoId/22009,Avoyelles Parish,2021,16386000,https://www.bea.gov/
geoId/22011,Beauregard Parish,2021,18845000,https://www.bea.gov/
geoId/22013,Bienville Parish,2021,4760000,https://www.bea.gov/
geoId/22015,Bossier Parish,2021,322757000,https://www.bea.gov/
geoId/22017,Caddo Parish,2021,413927000,https://www.bea.gov/
geoId/22019,Calcasieu Parish,2021,593348000,https://www.bea.gov/
geoId/22021,Caldwell Parish,2021,3325000,https://www.bea.gov/
geoId/22023,Cameron Parish,2021,2702000,https://www.bea.gov/
geoId/22025,Catahoula Parish,2021,2864000,https://www.bea.gov/
geoId/22027,Claiborne Parish,2021,2269000,https://www.bea.gov/
geoId/22029,Concordia Parish,2021,10137000,https://www.bea.gov/
geoId/22031,De Soto Parish,2021,10298000,https://www.bea.gov/
geoId/22033,East Baton Rouge Parish,2021,896916000,https://www.bea.gov/
geoId/22035,East Carroll Parish,2021,1560000,https://www.bea.gov/
geoId/22037,East Feliciana Parish,2021,5022000,https://www.bea.gov/
geoId/22039,Evangeline Parish,2020,4336000,https://www.bea.gov/
geoId/22041,Franklin Parish,2021,8807000,https://www.bea.gov/
geoId/22043,Grant Parish,2021,19229000,https://www.bea.gov/
geoId/22045,Iberia Parish,2021,42688000,https://www.bea.gov/
geoId/22047,Iberville Parish,2020,17911000,https://www.bea.gov/
geoId/22049,Jackson Parish,2021,4999000,https://www.bea.gov/
geoId/22051,Jefferson Parish,2021,1477419000,https://www.bea.gov/
geoId/22053,Jefferson Davis Parish,2021,16846000,https://www.bea.gov/
geoId/22055,Lafayette Parish,2021,484068000,https://www.bea.gov/
geoId/22057,Lafourche Parish,2021,78647000,https://www.bea.gov/
geoId/22059,La Salle Parish,2021,6470000,https://www.bea.gov/
geoId/22061,Lincoln Parish,2021,63661000,https://www.bea.gov/
geoId/22063,Livingston Parish,2021,100597000,https://www.bea.gov/
geoId/22065,Madison Parish,2021,7726000,https://www.bea.gov/
geoId/22067,Morehouse Parish,2021,9591000,https://www.bea.gov/
geoId/22069,Natchitoches Parish,2021,44281000,https://www.bea.gov/
geoId/22071,Orleans Parish,2021,1829611000,https://www.bea.gov/
geoId/22073,Ouachita Parish,2021,217907000,https://www.bea.gov/
geoId/22075,Plaquemines Parish,2021,26079000,https://www.bea.gov/
geoId/22077,Pointe Coupee Parish,2021,9980000,https://www.bea.gov/
geoId/22079,Rapides Parish,2021,136347000,https://www.bea.gov/
geoId/22081,Red River Parish,2021,3763000,https://www.bea.gov/
geoId/22083,Richland Parish,2021,8632000,https://www.bea.gov/
geoId/22085,Sabine Parish,2021,7894000,https://www.bea.gov/
geoId/22087,St. Bernard Parish,2021,36012000,https://www.bea.gov/
geoId/22089,St. Charles Parish,2021,37457000,https://www.bea.gov/
